Image Name,Description,File Name,Extracted Text
01436.png,a bird is perched on top of a flower,01436.png,"when the school shooter accidently shoots the autistic Hid but doesn""t know that the tard strength makes him imppervious (0 bullets"
01439.png,a mountain goat and a goat on a rocky hillside,01439.png,im long and strong and dowm {0 the goat @umup on get
01452.png,a gorilla sitting on top of another gorilla,01452.png,the feeling after a long dayat work
01456.png,a black and white photo of a crowd of people,01456.png,IRKonser thev see them] rollin; they hating
01459.png,a woman sitting on the floor surrounded by spiders,01459.png,"@ust mez thhey""tre re all terrorists"
01465.png,a group of people in white and red outfits,01465.png,Ihere iStiiference heteel violalingmislis andolhermisiis I~b dlontgetconiused A
01467.png,a man giving a thumbs up with his thumbs,01467.png,its a great day to be a honkyl
01468.png,a child is sitting on a toilet in a bathroom,01468.png,assad: MV SOM expploded   better than gours; [ol hamidz
01469.png,a man in a gas mask and gas mask holding a gun,01469.png,when vOu piunch the muslim kit so hard that he starts having seizures ant fucking dies the bomh has been defused
01472.png,a woman in a turbal,01472.png,"@mm eoumluny dbis bbeadldtress is commOP {o wear vou want t0, Ibere im othier countries i an also free t0 wear it if want t0"
01475.png,a painting of a man with long hair and a crown on his head,01475.png,last time muslims invaded europe vlad stuck poles uUp) their asses and made a fucking forest be like vlad
01476.png,a young girl in a red sweater and black gloves,01476.png,im confident in MIIV Own skin
01483.png,a man sitting in a crowd of people,01483.png,feeling bored; let's 90 to a mnosque
01487.png,"a woman holding a sign that says, ' we ' re '",01487.png,whenyou forget Su5t SIRI Su (STEHR HWYAR Is7e uSI SIRIV' SIRI Is88  SIRI vou're retarded 8 0 NHILS 9 1 Srwst
01492.png,a woman in a black top and a pink vise,01492.png,dJomFu Hike Tbe sum So [ wear a visor
01497.png,a man holding a child in his arms,01497.png,now back to Ube married islamic classic  to children
01498.png,a woman with red hair and a surprised expression,01498.png,democrats clain daca kids shouldn't have to [ay for their parents Crimes; Ho but white people are still responsible for 17th century slave owners??
01524.png,a man holding a gun in his pocket,01524.png,when VOU catch vour goat with another man
01526.png,a woman in an apron is holding a cash machine,01526.png,pu uhe momey im a bag. mowl that will be SO.15
01527.png,a man with his knee pain,01527.png,oh mo@ cant run anypore
01529.png,a woman in a bikini top dancing in a parade,01529.png,acceptance Of indlividuality is not a disgusting thing
01546.png,a man in uniform standing in front of the eiffiffiffiffiffiffiffiffiffiff,01546.png,kill the jews and muslins for being anti-white
01547.png,a group of people sitting around a table,01547.png,[how mexicams [be Iike_ when dhey [hear their friends kid is aving a birthday party
01548.png,a woman sitting at a table with her hand on her face,01548.png,"what are they ffighting over? is [t: a) the Iast pan ducle h) he accidentally touch the homies hhand passing a beer? c] foo used the last of the three flowers d) homie said ""i got VOU on gas"" but he only has $31"
